timestamp,distance,speed,enhanced_speed,heart_rate,cadence,power,altitude,enhanced_altitude,position_lat,position_long,latitude_degrees,longitude_degrees
2026-02-06T15:03:30,0.44,0.849,0.849,0,16,59,0.0,0.0,426927456,1659937280,35.78464597463608,139.1343355178833
2026-02-06T15:03:31,1.7,1.463,1.463,81,37,55,0.0,0.0,426927456,1659937152,35.78464597463608,139.13432478904724
2026-02-06T15:03:32,2.99,1.755,1.755,81,60,51,0.0,0.0,426927456,1659936768,35.78464597463608,139.13429260253906
2026-02-06T15:03:33,5.27,2.063,2.063,83,77,50,0.0,0.0,426927456,1659936640,35.78464597463608,139.134281873703
2026-02-06T15:03:34,7.59,2.352,2.352,83,76,58,0.0,0.0,426927456,1659936256,35.78464597463608,139.13424968719482
2026-02-06T15:03:35,9.98,2.629,2.629,83,73,73,0.0,0.0,426927456,1659936000,35.78464597463608,139.1342282295227
2026-02-06T15:03:36,12.86,2.981,2.981,83,71,90,0.0,0.0,426927456,1659935488,35.78464597463608,139.13418531417847
2026-02-06T15:03:37,15.93,3.31,3.31,84,70,100,0.0,0.0,426927456,1659935104,35.78464597463608,139.1341531276703
2026-02-06T15:03:38,19.57,3.619,3.619,84,70,103,0.0,0.0,426927456,1659934592,35.78464597463608,139.13411021232605
2026-02-06T15:03:39,23.34,3.925,3.925,85,70,102,0.0,0.0,426927456,1659934208,35.78464597463608,139.13407802581787
2026-02-06T15:03:40,27.34,4.167,4.167,85,70,102,0.0,0.0,426927456,1659933696,35.78464597463608,139.13403511047363
2026-02-06T15:03:41,31.65,4.428,4.428,85,71,102,0.0,0.0,426927456,1659932928,35.78464597463608,139.13397073745728
2026-02-06T15:03:42,36.21,4.631,4.631,85,71,102,0.0,0.0,426927456,1659932544,35.78464597463608,139.1339385509491
2026-02-06T15:03:43,41.03,4.847,4.847,85,70,102,0.0,0.0,426927456,1659931904,35.78464597463608,139.1338849067688
2026-02-06T15:03:44,45.88,5.023,5.023,85,70,102,0.0,0.0,426927456,1659931264,35.78464597463608,139.1338312625885
2026-02-06T15:03:45,51.09,5.193,5.193,85,70,102,0.0,0.0,426927456,1659930368,35.78464597463608,139.13375616073608
2026-02-06T15:03:46,56.08,5.37,5.37,85,70,102,0.0,0.0,426927456,1659929856,35.78464597463608,139.13371324539185
2026-02-06T15:03:47,61.53,5.525,5.525,86,71,102,0.0,0.0,426927456,1659929088,35.78464597463608,139.1336488723755
2026-02-06T15:03:48,67.35,5.666,5.666,88,72,102,0.0,0.0,426927456,1659928192,35.78464597463608,139.13357377052307
2026-02-06T15:03:49,73.05,5.812,5.812,88,72,102,0.0,0.0,426927456,1659927680,35.78464597463608,139.13353085517883
2026-02-06T15:03:50,79.02,5.937,5.937,89,72,102,0.0,0.0,426927456,1659926784,35.78464597463608,139.13345575332642
2026-02-06T15:03:51,84.93,6.051,6.051,90,70,102,0.0,0.0,426927456,1659926016,35.78464597463608,139.13339138031006
2026-02-06T15:03:52,91.05,6.176,6.176,90,70,102,0.0,0.0,426927456,1659925120,35.78464597463608,139.13331627845764
2026-02-06T15:03:53,97.48,6.269,6.269,90,70,102,0.0,0.0,426927456,1659924352,35.78464597463608,139.13325190544128
2026-02-06T15:03:54,103.71,6.355,6.355,90,70,102,0.0,0.0,426927456,1659923456,35.78464597463608,139.13317680358887
2026-02-06T15:03:55,109.88,6.447,6.447,89,70,102,0.0,0.0,426927456,1659922560,35.78464597463608,139.13310170173645
2026-02-06T15:03:56,116.75,6.522,6.522,89,70,102,0.0,0.0,426927456,1659921792,35.78464597463608,139.1330373287201
2026-02-06T15:03:57,122.89,6.594,6.594,90,70,102,0.0,0.0,426927456,1659920896,35.78464597463608,139.13296222686768
2026-02-06T15:03:58,130.01,6.681,6.681,90,70,102,0.0,0.0,426927456,1659920256,35.78464597463608,139.13290858268738
2026-02-06T15:03:59,136.47,6.744,6.744,90,69,102,0.0,0.0,426927392,1659919104,35.78464061021805,139.13281202316284
2026-02-06T15:04:00,143.36,6.813,6.813,91,69,102,0.0,0.0,426927392,1659918336,35.78464061021805,139.13274765014648
2026-02-06T15:04:01,150.15,6.872,6.872,91,70,102,0.0,0.0,426927392,1659917312,35.78464061021805,139.132661819458
2026-02-06T15:04:02,157.12,6.926,6.926,91,71,102,0.0,0.0,426927392,1659916416,35.78464061021805,139.1325867176056
2026-02-06T15:04:03,164.0,6.984,6.984,92,71,102,0.0,0.0,426927392,1659915648,35.78464061021805,139.13252234458923
2026-02-06T15:04:04,171.05,7.032,7.032,92,71,102,0.0,0.0,426927392,1659914496,35.78464061021805,139.1324257850647
2026-02-06T15:04:05,177.83,7.077,7.077,93,72,102,0.0,0.0,426927392,1659913600,35.78464061021805,139.13235068321228
2026-02-06T15:04:06,185.28,7.133,7.133,94,72,102,0.0,0.0,426927392,1659912704,35.78464061021805,139.13227558135986
2026-02-06T15:04:07,192.37,7.175,7.175,94,73,102,0.0,0.0,426927392,1659911808,35.78464061021805,139.13220047950745
2026-02-06T15:04:08,199.6,7.213,7.213,94,74,102,0.0,0.0,426927392,1659910912,35.78464061021805,139.13212537765503
2026-02-06T15:04:09,206.75,7.256,7.256,95,75,103,0.0,0.0,426927392,1659909888,35.78464061021805,139.13203954696655
2026-02-06T15:04:10,213.8,7.293,7.293,95,75,102,0.0,0.0,426927392,1659908864,35.78464061021805,139.13195371627808
2026-02-06T15:04:11,221.34,7.324,7.324,95,76,102,0.0,0.0,426927392,1659907968,35.78464061021805,139.13187861442566
2026-02-06T15:04:12,228.03,7.353,7.353,96,77,101,0.0,0.0,426927392,1659906944,35.78464061021805,139.13179278373718
2026-02-06T15:04:13,236.14,7.387,7.387,96,78,100,0.0,0.0,426927392,1659906048,35.78464061021805,139.13171768188477
2026-02-06T15:04:14,243.61,7.413,7.413,96,77,100,0.0,0.0,426927392,1659904896,35.78464061021805,139.13162112236023
2026-02-06T15:04:15,250.97,7.442,7.442,97,77,101,0.0,0.0,426927392,1659904000,35.78464061021805,139.1315460205078
2026-02-06T15:04:16,258.49,7.466,7.466,97,79,101,0.0,0.0,426927392,1659903104,35.78464061021805,139.1314709186554
2026-02-06T15:04:17,265.9,7.494,7.494,98,79,101,0.0,0.0,426927392,1659901952,35.78464061021805,139.13137435913086
2026-02-06T15:04:18,273.42,7.518,7.518,98,79,102,0.0,0.0,426927296,1659901056,35.784632563591,139.13129925727844
2026-02-06T15:04:19,280.51,7.551,7.551,98,79,102,0.0,0.0,426927168,1659900160,35.784621834754944,139.13122415542603
2026-02-06T15:04:20,288.56,7.588,7.588,98,79,102,0.0,0.0,426926912,1659899136,35.784600377082825,139.13113832473755
2026-02-06T15:04:21,296.06,7.622,7.622,98,78,102,0.0,0.0,426926624,1659898112,35.78457623720169,139.13105249404907
2026-02-06T15:04:22,303.8,7.664,7.664,98,78,102,0.0,0.0,426926176,1659897216,35.78453868627548,139.13097739219666
2026-02-06T15:04:23,311.23,7.708,7.708,98,78,106,0.0,0.0,426925664,1659896576,35.784495770931244,139.13092374801636
2026-02-06T15:04:24,319.13,7.754,7.754,99,80,106,0.0,0.0,426925024,1659895808,35.784442126750946,139.130859375
2026-02-06T15:04:25,326.96,7.806,7.806,99,82,107,0.0,0.0,426924320,1659895424,35.78438311815262,139.13082718849182
2026-02-06T15:04:26,334.75,7.846,7.846,99,83,103,0.0,0.0,426923520,1659894912,35.784316062927246,139.13078427314758
2026-02-06T15:04:27,342.35,7.879,7.879,100,83,101,0.0,0.0,426922752,1659894528,35.78425168991089,139.1307520866394
2026-02-06T15:04:28,350.58,7.911,7.911,100,82,101,0.0,0.0,426921888,1659894400,35.78417927026749,139.13074135780334
2026-02-06T15:04:29,358.45,7.938,7.938,100,81,101,0.0,0.0,426921088,1659894144,35.784112215042114,139.13071990013123
2026-02-06T15:04:30,366.12,7.964,7.964,100,81,102,0.0,0.0,426920224,1659894016,35.78403979539871,139.13070917129517
2026-02-06T15:04:31,374.44,7.988,7.988,101,81,99,0.0,0.0,426919360,1659894016,35.78396737575531,139.13070917129517
2026-02-06T15:04:32,382.23,8.006,8.006,101,81,99,0.0,0.0,426918528,1659894016,35.78389763832092,139.13070917129517
2026-02-06T15:04:33,390.21,8.037,8.037,102,79,110,0.0,0.0,426917696,1659894016,35.783827900886536,139.13070917129517
2026-02-06T15:04:34,397.75,8.075,8.075,102,79,110,0.0,0.0,426916832,1659893760,35.78375548124313,139.13068771362305
2026-02-06T15:04:35,406.68,8.136,8.136,102,79,125,0.0,0.0,426915872,1659893760,35.78367501497269,139.13068771362305
2026-02-06T15:04:36,414.93,8.184,8.184,102,79,126,0.0,0.0,426915008,1659893760,35.783602595329285,139.13068771362305
2026-02-06T15:04:37,423.11,8.238,8.238,102,79,127,0.0,0.0,426914144,1659893760,35.78353017568588,139.13068771362305
2026-02-06T15:04:38,431.23,8.284,8.284,102,79,127,0.0,0.0,426913248,1659893760,35.783455073833466,139.13068771362305
2026-02-06T15:04:39,439.7,8.331,8.331,101,79,129,0.0,0.0,426912384,1659893760,35.78338265419006,139.13068771362305
2026-02-06T15:04:40,447.61,8.375,8.375,101,79,129,0.0,0.0,426911456,1659893760,35.78330487012863,139.13068771362305
2026-02-06T15:04:41,455.74,8.416,8.416,101,79,128,0.0,0.0,426910592,1659893760,35.78323245048523,139.13068771362305
2026-02-06T15:04:42,464.94,8.458,8.458,101,79,128,0.0,0.0,426909696,1659893760,35.78315734863281,139.13068771362305
2026-02-06T15:04:43,473.16,8.498,8.498,102,78,128,0.0,0.0,426908736,1659893760,35.783076882362366,139.13068771362305
2026-02-06T15:04:44,482.03,8.535,8.535,102,78,128,0.0,0.0,426907840,1659893760,35.78300178050995,139.13068771362305
2026-02-06T15:04:45,490.33,8.568,8.568,102,78,128,0.0,0.0,426906912,1659893760,35.78292399644852,139.13068771362305
2026-02-06T15:04:46,499.19,8.597,8.597,102,78,128,0.0,0.0,426906016,1659893760,35.7828488945961,139.13068771362305
2026-02-06T15:04:47,507.16,8.625,8.625,102,77,128,0.0,0.0,426905056,1659893760,35.78276842832565,139.13068771362305
2026-02-06T15:04:48,516.21,8.655,8.655,102,77,128,0.0,0.0,426904128,1659893760,35.78269064426422,139.13068771362305
2026-02-06T15:04:49,524.3,8.68,8.68,102,78,128,0.0,0.0,426903232,1659893760,35.782615542411804,139.13068771362305
2026-02-06T15:04:50,533.56,8.708,8.708,103,79,128,0.0,0.0,426902272,1659893760,35.78253507614136,139.13068771362305
2026-02-06T15:04:51,542.37,8.73,8.73,103,80,128,0.0,0.0,426901376,1659893760,35.78245997428894,139.13068771362305
2026-02-06T15:04:52,551.04,8.755,8.755,103,81,128,0.0,0.0,426900416,1659893760,35.782379508018494,139.13068771362305
2026-02-06T15:04:53,560.02,8.778,8.778,103,81,128,0.0,0.0,426899456,1659893760,35.78229904174805,139.13068771362305
2026-02-06T15:04:54,568.41,8.797,8.797,103,80,128,0.0,0.0,426898560,1659893760,35.78222393989563,139.13068771362305
2026-02-06T15:04:55,577.49,8.815,8.815,103,80,128,0.0,0.0,426897536,1659893760,35.78213810920715,139.13068771362305
2026-02-06T15:04:56,586.33,8.836,8.836,103,81,129,0.0,0.0,426896640,1659893760,35.782063007354736,139.13068771362305
2026-02-06T15:04:57,595.03,8.853,8.853,103,81,128,0.0,0.0,426895680,1659893760,35.78198254108429,139.13068771362305
2026-02-06T15:04:58,604.06,8.868,8.868,104,81,128,0.0,0.0,426894720,1659893760,35.78190207481384,139.13068771362305
2026-02-06T15:04:59,612.94,8.885,8.885,104,82,128,0.0,0.0,426893760,1659893760,35.781821608543396,139.13068771362305
2026-02-06T15:05:00,621.85,8.899,8.899,104,83,128,0.0,0.0,426892800,1659893760,35.78174114227295,139.13068771362305
2026-02-06T15:05:01,630.69,8.913,8.913,104,83,128,0.0,0.0,426891840,1659893760,35.7816606760025,139.13068771362305
2026-02-06T15:05:02,639.65,8.926,8.926,104,84,128,0.0,0.0,426890912,1659893760,35.78158289194107,139.13068771362305
2026-02-06T15:05:03,648.53,8.944,8.944,104,83,128,0.0,0.0,426889952,1659893760,35.781502425670624,139.13068771362305
2026-02-06T15:05:04,657.38,8.959,8.959,104,83,128,0.0,0.0,426888992,1659893760,35.78142195940018,139.13068771362305
2026-02-06T15:05:05,666.21,8.976,8.976,104,83,128,0.0,0.0,426888032,1659893760,35.78134149312973,139.13068771362305
2026-02-06T15:05:06,675.5,8.99,8.99,104,83,128,0.0,0.0,426887072,1659893760,35.78126102685928,139.13068771362305
2026-02-06T15:05:07,684.18,9.006,9.006,104,82,128,0.0,0.0,426886080,1659893760,35.78117787837982,139.13068771362305
2026-02-06T15:05:08,693.48,9.02,9.02,104,83,129,0.0,0.0,426885120,1659893760,35.781097412109375,139.13068771362305
2026-02-06T15:05:09,702.53,9.035,9.035,104,84,129,0.0,0.0,426884160,1659893760,35.78101694583893,139.13068771362305
2026-02-06T15:05:10,711.26,9.046,9.046,104,85,128,0.0,0.0,426883200,1659893760,35.78093647956848,139.13068771362305
2026-02-06T15:05:11,720.49,9.058,9.058,105,84,128,0.0,0.0,426882208,1659893760,35.78085333108902,139.13068771362305
2026-02-06T15:05:12,729.48,9.069,9.069,105,83,128,0.0,0.0,426881248,1659893760,35.78077286481857,139.13068771362305
2026-02-06T15:05:13,738.66,9.079,9.079,106,83,128,0.0,0.0,426880288,1659893760,35.780692398548126,139.13068771362305
2026-02-06T15:05:14,747.7,9.09,9.09,107,83,128,0.0,0.0,426879296,1659893760,35.780609250068665,139.13068771362305
2026-02-06T15:05:15,756.18,9.099,9.099,107,85,128,0.0,0.0,426878336,1659893760,35.78052878379822,139.13068771362305
2026-02-06T15:05:16,765.63,9.107,9.107,107,85,128,0.0,0.0,426877344,1659893760,35.780445635318756,139.13068771362305
2026-02-06T15:05:17,775.07,9.117,9.117,107,84,128,0.0,0.0,426876352,1659893760,35.780362486839294,139.13068771362305
2026-02-06T15:05:18,784.47,9.125,9.125,107,84,128,0.0,0.0,426875392,1659893760,35.78028202056885,139.13068771362305
2026-02-06T15:05:19,793.23,9.13,9.13,107,85,128,0.0,0.0,426874432,1659893760,35.7802015542984,139.13068771362305
2026-02-06T15:05:20,802.6,9.134,9.134,107,87,129,0.0,0.0,426873408,1659894016,35.780115723609924,139.13070917129517
2026-02-06T15:05:21,811.43,9.132,9.132,107,90,128,0.0,0.0,426872480,1659894144,35.78003793954849,139.13071990013123
2026-02-06T15:05:22,820.69,9.117,9.117,107,90,126,0.0,0.0,426871552,1659894656,35.77996015548706,139.13076281547546
2026-02-06T15:05:23,829.56,9.092,9.092,107,89,124,0.0,0.0,426870752,1659895424,35.77989310026169,139.13082718849182
2026-02-06T15:05:24,838.83,9.048,9.048,107,85,125,0.0,0.0,426870048,1659896192,35.77983409166336,139.13089156150818
2026-02-06T15:05:25,847.62,8.998,8.998,107,84,126,0.0,0.0,426869472,1659897088,35.77978581190109,139.1309666633606
2026-02-06T15:05:26,857.06,8.928,8.928,108,85,128,0.0,0.0,426869088,1659898112,35.779753625392914,139.13105249404907
2026-02-06T15:05:27,865.48,8.859,8.859,108,85,128,0.0,0.0,426868768,1659899264,35.779726803302765,139.1311490535736
2026-02-06T15:05:28,874.5,8.776,8.776,108,85,128,0.0,0.0,426868640,1659900416,35.779716074466705,139.13124561309814
2026-02-06T15:05:29,883.23,8.7,8.7,108,85,128,0.0,0.0,426868544,1659901696,35.77970802783966,139.13135290145874
2026-02-06T15:05:30,891.93,8.611,8.611,108,84,128,0.0,0.0,426868512,1659902720,35.779705345630646,139.13143873214722
2026-02-06T15:05:31,900.37,8.539,8.539,108,85,131,0.0,0.0,426868512,1659903872,35.779705345630646,139.13153529167175
2026-02-06T15:05:32,909.3,8.469,8.469,108,85,136,0.0,0.0,426868512,1659904896,35.779705345630646,139.13162112236023
2026-02-06T15:05:33,916.9,8.421,8.421,108,85,143,0.0,0.0,426868512,1659906176,35.779705345630646,139.13172841072083
2026-02-06T15:05:34,925.87,8.378,8.378,108,86,147,0.0,0.0,426868512,1659907328,35.779705345630646,139.13182497024536
2026-02-06T15:05:35,934.17,8.346,8.346,108,85,147,0.0,0.0,426868512,1659908352,35.779705345630646,139.13191080093384
2026-02-06T15:05:36,942.61,8.314,8.314,107,84,150,0.0,0.0,426868512,1659909504,35.779705345630646,139.13200736045837
2026-02-06T15:05:37,950.57,8.289,8.289,107,83,150,0.0,0.0,426868512,1659910528,35.779705345630646,139.13209319114685
2026-02-06T15:05:38,959.38,8.265,8.265,107,83,151,0.0,0.0,426868512,1659911680,35.779705345630646,139.1321897506714
2026-02-06T15:05:39,967.24,8.243,8.243,107,83,151,0.0,0.0,426868512,1659912704,35.779705345630646,139.13227558135986
2026-02-06T15:05:40,975.41,8.219,8.219,107,83,151,0.0,0.0,426868512,1659913856,35.779705345630646,139.1323721408844
2026-02-06T15:05:41,983.95,8.201,8.201,107,83,152,0.0,0.0,426868512,1659914880,35.779705345630646,139.13245797157288
2026-02-06T15:05:42,991.85,8.183,8.183,108,82,152,0.0,0.0,426868512,1659916032,35.779705345630646,139.1325545310974
2026-02-06T15:05:43,1000.32,8.169,8.169,108,82,153,0.0,0.0,426868512,1659917056,35.779705345630646,139.1326403617859
2026-02-06T15:05:44,1008.19,8.155,8.155,108,82,153,0.0,0.0,426868512,1659918208,35.779705345630646,139.13273692131042
2026-02-06T15:05:45,1016.68,8.143,8.143,108,82,153,0.0,0.0,426868512,1659919104,35.779705345630646,139.13281202316284
2026-02-06T15:05:46,1024.52,8.132,8.132,108,82,153,0.0,0.0,426868512,1659920384,35.779705345630646,139.13291931152344
2026-02-06T15:05:47,1032.8,8.122,8.122,108,83,154,0.0,0.0,426868512,1659921536,35.779705345630646,139.13301587104797
2026-02-06T15:05:48,1040.83,8.112,8.112,108,83,153,0.0,0.0,426868512,1659922432,35.779705345630646,139.1330909729004
2026-02-06T15:05:49,1048.99,8.103,8.103,109,83,153,0.0,0.0,426868512,1659923456,35.779705345630646,139.13317680358887
2026-02-06T15:05:50,1057.01,8.084,8.084,109,83,153,0.0,0.0,426868640,1659924608,35.779716074466705,139.1332733631134
2026-02-06T15:05:51,1065.15,8.033,8.033,109,82,153,0.0,0.0,426869408,1659925120,35.77978044748306,139.13331627845764
2026-02-06T15:05:52,1073.15,7.99,7.99,109,82,153,0.0,0.0,426870240,1659925120,35.77985018491745,139.13331627845764
2026-02-06T15:05:53,1081.2,7.957,7.957,110,81,153,0.0,0.0,426871104,1659925120,35.77992260456085,139.13331627845764
2026-02-06T15:05:54,1089.07,7.921,7.921,110,81,153,0.0,0.0,426871968,1659925120,35.779995024204254,139.13331627845764
2026-02-06T15:05:55,1096.89,7.892,7.892,110,81,153,0.0,0.0,426872832,1659925120,35.780067443847656,139.13331627845764
2026-02-06T15:05:56,1104.92,7.861,7.861,110,82,153,0.0,0.0,426873696,1659925120,35.78013986349106,139.13331627845764
2026-02-06T15:05:57,1112.61,7.837,7.837,110,82,153,0.0,0.0,426874528,1659925120,35.780209600925446,139.13331627845764
2026-02-06T15:05:58,1120.57,7.811,7.811,111,82,153,0.0,0.0,426875296,1659925120,35.7802739739418,139.13331627845764
2026-02-06T15:05:59,1128.22,7.79,7.79,111,82,153,0.0,0.0,426876160,1659925120,35.780346393585205,139.13331627845764
2026-02-06T15:06:00,1135.94,7.768,7.768,111,82,153,0.0,0.0,426877024,1659925120,35.78041881322861,139.13331627845764
2026-02-06T15:06:01,1143.96,7.749,7.749,111,82,153,0.0,0.0,426877888,1659925120,35.78049123287201,139.13331627845764
2026-02-06T15:06:02,1151.68,7.73,7.73,111,84,153,0.0,0.0,426878688,1659925120,35.78055828809738,139.13331627845764
2026-02-06T15:06:03,1159.46,7.716,7.716,111,84,153,0.0,0.0,426879520,1659925120,35.78062802553177,139.13331627845764
2026-02-06T15:06:04,1167.1,7.7,7.7,111,84,154,0.0,0.0,426880288,1659925120,35.780692398548126,139.13331627845764
2026-02-06T15:06:05,1174.58,7.686,7.686,111,85,153,0.0,0.0,426881120,1659925120,35.78076213598251,139.13331627845764
2026-02-06T15:06:06,1182.35,7.674,7.674,111,84,153,0.0,0.0,426881920,1659925120,35.780829191207886,139.13331627845764
2026-02-06T15:06:07,1190.02,7.66,7.66,111,84,153,0.0,0.0,426882752,1659925120,35.78089892864227,139.13331627845764
2026-02-06T15:06:08,1197.76,7.65,7.65,112,84,153,0.0,0.0,426883616,1659925120,35.780971348285675,139.13331627845764
